dates,monthly_open_issues,monthly_closed_issues,monthly_open_PRs,monthly_closed_PRs,monthly_stargazer,monthly_contributors,monthly_commits
2009-10-01,0,0,0,0,0,5,110
2009-11-01,0,0,0,0,0,5,70
2009-12-01,0,0,0,0,0,3,4
2010-01-01,0,0,0,0,0,4,4
2010-02-01,0,0,0,0,0,5,18
2010-03-01,0,0,0,0,0,5,14
2010-04-01,0,0,0,0,0,4,12
2010-05-01,0,0,0,0,0,4,18
2010-06-01,0,0,0,0,0,2,2
2010-07-01,0,0,0,0,0,0,0
2010-08-01,0,0,0,0,0,2,2
2010-09-01,0,0,0,0,0,0,0
2010-10-01,0,0,0,0,0,4,4
2010-11-01,0,0,0,0,0,5,104
2010-12-01,0,0,0,0,0,6,184
2011-01-01,0,0,0,0,0,6,362
2011-02-01,0,0,0,0,0,6,260
2011-03-01,0,0,0,0,0,6,168
2011-04-01,0,0,0,0,0,7,392
2011-05-01,0,0,0,0,0,7,976
2011-06-01,0,0,0,0,0,5,708
2011-07-01,0,0,0,0,0,7,380
2011-08-01,0,0,0,0,0,5,240
2011-09-01,0,0,0,0,0,4,296
2011-10-01,0,0,0,0,0,2,152
2011-11-01,0,0,0,0,0,4,228
2011-12-01,0,0,0,0,0,4,228
2012-01-01,0,0,0,0,0,4,518
2012-02-01,0,0,0,0,0,3,366
2012-03-01,0,0,0,0,0,3,126
2012-04-01,0,0,0,0,0,3,88
2012-05-01,0,0,0,0,0,4,220
2012-06-01,0,0,0,0,0,7,520
2012-07-01,0,0,0,0,0,8,302
2012-08-01,0,0,0,0,0,7,142
2012-09-01,0,0,0,0,0,5,130
2012-10-01,0,0,0,0,0,4,242
2012-11-01,0,0,0,0,0,5,160
2012-12-01,0,0,0,0,0,4,72
2013-01-01,0,0,0,0,0,4,94
2013-02-01,0,0,0,0,0,4,340
2013-03-01,0,0,0,0,0,5,355
2013-04-01,0,0,0,0,0,5,480
2013-05-01,0,0,0,0,0,7,348
2013-06-01,0,0,0,0,0,5,468
2013-07-01,0,0,0,0,0,5,460
2013-08-01,117,13,0,0,2,7,339
2013-09-01,8,6,0,0,0,5,454
2013-10-01,2,0,0,0,1,6,177
2013-11-01,3,2,0,0,0,4,106
2013-12-01,5,6,0,0,0,3,116
2014-01-01,6,2,0,0,0,5,187
2014-02-01,3,1,0,0,0,5,143
2014-03-01,5,10,0,0,0,4,95
2014-04-01,2,2,0,0,0,5,81
2014-05-01,2,2,1,1,0,4,121
2014-06-01,33,8,0,0,1,7,177
2014-07-01,19,10,0,0,0,7,148
2014-08-01,15,18,0,0,0,5,56
2014-09-01,8,8,0,0,1,5,69
2014-10-01,12,8,0,0,0,6,82
2014-11-01,1,7,0,0,0,10,102
2014-12-01,11,10,0,0,0,10,258
2015-01-01,9,8,1,0,0,8,125
2015-02-01,24,81,1,1,0,7,184
2015-03-01,28,21,2,1,0,7,161
2015-04-01,14,10,2,3,1,5,172
2015-05-01,12,15,1,1,0,6,239
2015-06-01,23,39,12,13,3,8,513
2015-07-01,56,49,7,5,0,7,208
2015-08-01,24,16,9,7,1,8,111
2015-09-01,21,22,9,6,1,7,75
2015-10-01,39,14,5,3,1,6,119
2015-11-01,13,12,3,10,1,7,146
2015-12-01,7,7,1,0,0,5,126
2016-01-01,9,23,0,1,0,6,73
2016-02-01,4,11,1,1,3,5,33
2016-03-01,4,7,1,3,1,5,28
2016-04-01,4,5,1,1,1,5,50
2016-05-01,4,4,1,1,2,5,13
2016-06-01,7,8,0,0,3,3,53
2016-07-01,11,10,0,0,0,3,61
2016-08-01,15,9,1,1,0,3,69
2016-09-01,4,7,1,1,1,4,34
2016-10-01,7,10,2,2,0,3,26
2016-11-01,16,12,2,2,0,4,45
2016-12-01,6,8,2,2,1,5,28
2017-01-01,9,11,3,3,0,3,26
2017-02-01,11,8,1,1,1,4,36
2017-03-01,18,18,0,0,1,3,30
2017-04-01,20,25,8,8,1,5,123
2017-05-01,13,17,10,10,0,2,43
2017-06-01,14,14,7,7,3,1,32
2017-07-01,17,16,9,8,0,3,48
2017-08-01,24,25,13,14,0,4,68
2017-09-01,3,6,0,0,0,1,14
2017-10-01,13,12,3,3,0,3,44
2017-11-01,0,0,0,0,0,1,17
2017-12-01,0,0,0,0,0,1,9
2018-01-01,8,7,3,3,2,1,47
2018-02-01,8,6,2,2,0,1,29
2018-03-01,6,8,2,2,0,1,34
2018-04-01,12,13,1,1,0,3,24
2018-05-01,3,1,1,1,3,3,23
2018-06-01,3,7,2,2,1,4,62
2018-07-01,17,14,5,5,1,6,38
2018-08-01,8,11,3,3,2,1,11
2018-09-01,4,4,3,3,1,2,11
2018-10-01,11,9,8,8,0,1,6
2018-11-01,8,8,7,6,0,1,9
2018-12-01,10,11,10,10,1,1,13
2019-01-01,18,10,14,8,1,2,6
2019-02-01,17,19,12,14,0,2,17
2019-03-01,8,7,3,3,1,2,8
2019-04-01,5,7,5,6,3,5,21
2019-05-01,4,2,1,2,0,1,17
2019-06-01,4,3,4,3,0,2,7
2019-07-01,0,0,0,0,1,1,7
2019-08-01,7,5,4,3,1,2,5
2019-09-01,2,2,1,2,0,1,3
2019-10-01,2,2,2,2,1,2,2
2019-11-01,3,3,1,1,0,2,7
2019-12-01,2,2,1,1,2,2,8
2020-01-01,2,2,2,2,0,1,5
2020-02-01,4,4,2,2,1,2,6
2020-03-01,6,9,5,8,0,3,7
2020-04-01,4,3,4,3,1,3,14
2020-05-01,7,8,5,7,0,2,26
2020-06-01,6,1,3,1,1,2,8
2020-07-01,4,5,2,3,0,3,9
2020-08-01,0,1,0,1,2,2,11
2020-09-01,1,1,0,0,1,2,14
2020-10-01,0,0,0,0,2,2,8
2020-11-01,2,1,0,0,3,1,3
2020-12-01,1,0,0,0,2,1,2
2021-01-01,2,1,0,0,1,2,6
2021-02-01,5,4,4,4,0,2,13
2021-03-01,4,0,1,0,5,2,8
2021-04-01,2,2,1,2,1,2,10
2021-05-01,0,0,0,0,2,1,2
2021-06-01,0,0,0,0,4,1,2
2021-07-01,2,2,0,0,2,1,8
2021-08-01,3,3,2,2,2,2,25
2021-09-01,2,0,0,0,3,1,3
2021-10-01,0,0,0,0,0,0,0
2021-11-01,0,0,0,0,1,1,2
2021-12-01,0,0,0,0,3,0,0
2022-01-01,3,2,0,0,2,1,4
2022-02-01,1,1,0,0,1,0,0
2022-03-01,5,4,0,0,0,1,2
2022-04-01,0,0,0,0,6,0,0
2022-05-01,0,0,0,0,4,1,1
2022-06-01,0,0,0,0,0,0,0
2022-07-01,5,1,1,1,4,3,3
2022-08-01,0,1,0,0,1,3,13
2022-09-01,2,0,0,0,2,2,21
2022-10-01,7,6,7,6,0,3,4
2022-11-01,3,3,3,3,4,3,4
2022-12-01,2,4,2,3,1,3,12
2023-01-01,1,0,1,0,6,1,7
2023-02-01,3,3,2,3,1,3,8
2023-03-01,3,3,3,3,0,2,3
