dates,monthly_open_issues,monthly_closed_issues,monthly_open_PRs,monthly_closed_PRs,monthly_stargazer,monthly_contributors,monthly_commits
2019-10-01,0,0,0,0,0,1,2
2019-11-01,1,1,1,1,0,2,25
2019-12-01,1,1,1,1,0,2,15
2020-01-01,4,4,4,4,0,2,49
2020-02-01,3,3,3,3,0,2,52
2020-03-01,2,2,2,2,0,2,34
2020-04-01,2,1,1,1,0,2,5
2020-05-01,5,3,3,3,0,3,93
2020-06-01,10,11,8,8,0,4,38
2020-07-01,43,21,18,17,0,7,109
2020-08-01,11,17,11,12,0,7,118
2020-09-01,2,2,2,2,0,2,19
2020-10-01,9,6,5,5,0,3,29
2020-11-01,8,21,7,6,0,4,45
2020-12-01,4,1,1,1,0,2,15
2021-01-01,7,6,5,4,0,3,34
2021-02-01,11,8,8,7,0,5,52
2021-03-01,2,2,2,2,0,4,23
2021-04-01,1,1,1,1,0,2,12
2021-05-01,2,3,1,1,0,4,16
2021-06-01,3,3,2,2,0,4,14
2021-07-01,1,1,1,1,0,3,18
2021-08-01,3,4,3,2,0,3,53
2021-09-01,6,5,4,4,0,4,43
2021-10-01,2,4,2,2,0,2,15
2021-11-01,0,1,0,1,0,2,6
2021-12-01,0,0,0,0,0,0,0
2022-01-01,2,2,2,2,0,2,19
2022-02-01,12,8,9,7,0,6,142
2022-03-01,22,26,22,25,0,8,155
2022-04-01,14,18,13,15,1,6,169
2022-05-01,19,16,14,14,1,5,105
2022-06-01,14,14,11,11,1,5,92
2022-07-01,16,15,14,14,1,6,63
2022-08-01,12,12,11,11,0,5,64
2022-09-01,18,16,16,15,2,6,75
2022-10-01,12,12,12,11,11,6,60
2022-11-01,8,10,7,8,0,5,40
2022-12-01,10,10,8,7,2,3,74
2023-01-01,23,17,18,15,4,6,73
2023-02-01,16,19,13,16,2,5,60
2023-03-01,10,10,10,9,3,5,111
