dates,monthly_open_issues,monthly_closed_issues,monthly_open_PRs,monthly_closed_PRs,monthly_stargazer,monthly_contributors,monthly_commits
2019-09-01,0,0,0,0,0,0,0
2019-10-01,0,0,0,0,24,0,0
2019-11-01,0,0,0,0,6,0,0
2019-12-01,0,0,0,0,1,0,0
2020-01-01,0,0,0,0,0,0,0
2020-02-01,1,0,0,0,3,0,0
2020-03-01,1,1,1,1,1,0,0
2020-04-01,0,0,0,0,0,0,0
2020-05-01,0,0,0,0,1,0,0
2020-06-01,0,0,0,0,2,0,0
2020-07-01,0,0,0,0,1,0,0
2020-08-01,0,0,0,0,1,0,0
2020-09-01,1,1,1,1,0,0,0
2020-10-01,0,0,0,0,0,0,0
2020-11-01,0,0,0,0,1,0,0
2020-12-01,0,0,0,0,1,0,0
2021-01-01,0,0,0,0,2,0,0
2021-02-01,1,0,0,0,1,0,0
2021-03-01,1,1,0,0,0,0,0
2021-04-01,0,0,0,0,0,0,0
2021-05-01,0,0,0,0,1,0,0
2021-06-01,0,0,0,0,2,0,0
2021-07-01,0,0,0,0,1,0,0
2021-08-01,0,0,0,0,1,0,0
2021-09-01,0,0,0,0,1,0,0
2021-10-01,18,6,7,3,0,0,0
2021-11-01,17,17,12,11,3,0,0
2021-12-01,3,1,2,1,2,0,0
2022-01-01,3,2,3,2,2,0,0
2022-02-01,0,0,0,0,2,0,0
2022-03-01,1,1,1,1,1,0,0
2022-04-01,1,0,1,0,2,0,0
2022-05-01,0,0,0,0,1,1,11
2022-06-01,2,1,2,1,1,1,97
2022-07-01,2,1,2,1,1,1,9
2022-08-01,2,1,2,1,0,1,58
2022-09-01,0,0,0,0,0,1,19
2022-10-01,0,11,0,11,0,2,15
2022-11-01,23,16,0,0,0,1,56
2022-12-01,11,10,0,0,0,1,22
2023-01-01,0,0,0,0,0,1,12
2023-02-01,11,5,6,5,5,1,41
2023-03-01,25,23,17,16,2,2,15
