Date,2024-04-30
name,bessagroup_f3dasm_split_1.csv
Month,monthly_closed_issues,monthly_open_PRs,monthly_closed_PRs,monthly_stargazer,monthly_contributors
Month_1,1,0,1,0,1,-1
Month_2,1,0,-1,0,0,1
Month_3,1,0,1,0,1,-1
Month_4,1,0,-1,0,1,1
Month_5,1,0,-1,0,-1,-1
Month_6,-1,0,-1,0,1,-1
Month_7,-1,0,-1,0,1,-1
Month_8,-1,0,0,0,-1,-1
Month_9,-1,0,-1,0,1,1
Month_10,1,0,-1,0,1,1
Month_11,1,0,-1,0,-1,1
Month_12,1,0,1,0,-1,1
Date,2024-04-30
name,BlueQuartzSoftware_DREAM3D_split_1.csv
Month,monthly_closed_issues,monthly_open_PRs,monthly_closed_PRs,monthly_stargazer,monthly_contributors
Month_1,-1,0,0,-1,-1,-1
Month_2,-1,0,0,-1,1,-1
Month_3,1,0,0,-1,1,1
Month_4,-1,0,0,-1,1,-1
Month_5,-1,0,0,1,-1,-1
Month_6,1,0,0,-1,-1,-1
Month_7,1,0,0,-1,1,1
Month_8,1,0,0,-1,-1,-1
Month_9,1,0,0,1,1,1
Month_10,1,0,0,-1,-1,1
Month_11,1,0,0,-1,-1,-1
Month_12,1,0,0,-1,1,-1
Date,2024-04-30
name,CederGroupHub_smol_split_1.csv
Month,monthly_closed_issues,monthly_open_PRs,monthly_closed_PRs,monthly_stargazer,monthly_contributors
Month_1,0,0,-1,-1,-1,-1
Month_2,0,0,-1,1,1,-1
Month_3,0,0,-1,-1,-1,1
Month_4,0,0,-1,-1,-1,-1
Month_5,0,0,-1,1,-1,-1
Month_6,0,0,-1,-1,-1,-1
Month_7,0,0,-1,1,-1,1
Month_8,0,0,-1,1,1,0
Month_9,0,0,-1,-1,1,1
Month_10,0,0,-1,-1,1,1
Month_11,0,0,-1,1,-1,1
Month_12,0,0,1,-1,-1,1
